
tooltip_Init_TimeWarpA									 \nInitializing, please wait...
object_Crematorium										 Crematorium
buildtoolbar_popup_obj_Crematorium						 A place where people get cremated
tooltip_CrematoriumIdle									 \nStored Coffins: *A/30\nCremation starts at: *B\n\nIf no hour to cremate is specified then cremation will start automatically at the next whole hour when there are 30 coffins or more stored at the Crematorium
tooltip_CrematoriumInit									 \nStored Coffins: *A/30\nCremation pending...\n\nA Gravedigger will activate the Crematorium
tooltip_CrematoriumActive								 \nCremation finished in about: *A minutes
tooltip_button_CremationHourPlus						 Hour (+)
tooltip_button_CremationHourMinus						 Hour (-)
tooltip_button_CremationHour							 Cremate: *X


object_SmallTableMorgue									 Morgue Table
buildtoolbar_popup_obj_SmallTableMorgue					 Use this small table in a Morgue to store Empty Coffins. Dead entities will be brought here before they go to the Funeral Parlour.
object_SmallTableFP										 Parlour Table
buildtoolbar_popup_obj_SmallTableFP						 Use this small table in a Funeral Parlour to store occupied Coffins. Dead entities will be brought here before they get buried.

object_GraveStone										 Grave Stone (eyecandy)
object_GraveStoneSpawner								 Grave Stone (eye-candy)
buildtoolbar_popup_obj_GraveStone						 Give your Death Row prisoners a nice view from their window so they can see where their future is buried.\n\nThis GraveStone is eyecandy, use the other one to bury dead people.
object_GraveStone2										 Grave Stone
object_GraveStoneStaff2									 Grave Stone
object_GraveUnderConstruction1							 Empty Grave
object_GraveStaffUnderConstruction1						 Empty Staff Grave
tooltip_EmptyGrave1										 This grave is empty and waiting for a coffin...
tooltip_EmptyGrave2										 This grave is being prepared...
tooltip_EmptyStaffGrave1								 This staff grave is empty and waiting for a coffin...
tooltip_EmptyStaffGrave2								 This staff grave is being prepared...
buildtoolbar_popup_obj_GraveUnderConstruction1			 Place empty graves at the Cemetery, they will be waiting for full Coffins coming from the Morgue...
buildtoolbar_popup_obj_GraveStaffUnderConstruction1		 Place empty Staff graves at the Cemetery, they will be waiting for full Coffins coming from the Morgue...
object_GraveUnderConstruction2							 Big Hole
object_GraveStaffUnderConstruction2						 Big Hole
object_GraveLoaded										 Grave
object_GraveStaffLoaded									 Grave
object_GravePhoto										 Grave Photo
object_GraveLid											 Grave Lid
object_FuneralWreath									 Funeral Wreath
object_FuneralWreathRubbish								 Funeral Wreath
object_GraveFlowers										 Flowers
room_FuneralParlour										 Funeral Parlour
buildtoolbar_popup_room_FuneralParlour					 Dead prisoners will be brought to this room once they are loaded in a coffin.\n\n- If you place a Parlour Table then the prisoner gets no ceremony, and the coffin is closed in this room.\n\n- If you place a Parlour Altar then you get a whole funeral ceremony when a coffin gets brought to this room. Of course this will take much longer.\n\n - The Altar will always be used first, and it starts a ceremony. If no Altars were placed (or free), the empty tables will be filled up to quickly bury the rest of the bodies. Meanwhile your GraveDiggers roam here to warm up when they have nothing to do.
room_Cemetery											 Cemetery
buildtoolbar_popup_room_cemetery						 A plot of land where people can find a last place to rest. Uses Grave (scripted, people can be buried) or GraveStones (eyecandy).
room_CoffinWorkshop										 Coffin Workshop
buildtoolbar_popup_room_CoffinWorkshop					 A workshop where prisoners assemble coffins. Finished coffins are stored on a Morgue Table at the Morgue. All tables loaded? Then the coffins go to Exports.
object_CoffinTable										 Coffin Table
buildtoolbar_popup_obj_CoffinTable						 A workshop table on which coffins are made. Required at the Coffin Workshop. Six pieces of Wood make one Coffin.
object_SpiritualLeaderClone								 Spiritual Leader
object_SomeFriendCemetery								 Cemetery Visitor
object_SomeFriendLeaving								 Leaving Visitor
object_SomeFriendParlour1								 Parlour Visitor
object_SomeFriendParlour2								 Parlour Visitor
object_SomeFriendParlour3								 Parlour Visitor
object_SomeFriendParlour4								 Parlour Visitor
object_SomeFriendParlour5								 Parlour Visitor
object_SomeFriendFuneral								 Funeral Visitor
object_SpiritualLeaderParlour							 Spiritual Leader
tooltip_friend_leaving									 Leaving the map
tooltip_visiting_funeral								 Attend funeral at the Funeral Parlour
tooltip_visiting_grave									 Visit grave at the Cemetery
material_GraveHole										 Grave Hole
material_CemeteryStone									 Cemetery Stone
material_CemeteryPavingStone							 Cemetery Paving Stone
object_GraveDigger										 Gravedigger
buildtoolbar_popup_staff_GraveDigger					 Gives the Grave Digging course at the Cemetery.
object_GraveCoffinParlour								 Coffin (Parlour)
object_GraveCoffinParlourStaff							 Coffin (Parlour)
object_GraveCoffin										 Empty Coffin
buildtoolbar_popup_obj_GraveCoffin						 Place some empty coffins, they will be loaded on a Morgue Table at the Morgue. Dead people will be placed in here. Full coffins go to the Funeral Parlour before they get buried at the Cemetery in Empty Graves.
object_GraveCoffinLoaded								 Coffin
object_GraveCoffinLoaded2								 Coffin
object_GraveCoffinStaffLoaded							 Coffin
object_GraveCoffinStaffLoaded2							 Coffin
object_GraveCoffinLid									 Coffin Lid
object_CrematoriumCoffinStacked							 Coffin	(stacked)
object_CrematoriumCoffinPending							 Coffin	(pending)
object_CrematoriumUrn									 Urn
object_CrematoriumDoor									 Door
object_ParlourChair										 Parlour Chair
buildtoolbar_popup_obj_ParlourChair						 Place up to 5 parlour chairs in the Funeral Parlour, so visiting friends of a dead person can sit down during a ceremony. You can dismantle the chairs after completing the grant if you don't want ceremonies in your prison.
object_ParlourAltar										 Parlour Altar
buildtoolbar_popup_obj_ParlourAltar						 Use this altar in a Funeral Parlour to store Coffins. Dead entities will be brought here and get a ceremony before they get buried.\n\nYou can also just use a Parlour Table if you want no funerals and a quicker burial procedure. You can dismantle the altar after completing the grant if you don't want ceremonies in your prison.
object_ParlourAltarStaff								 Parlour Altar (Staff)
buildtoolbar_popup_obj_ParlourAltarStaff				 Use this altar in a Funeral Parlour to store staff Coffins. Dead entities will be brought here and get a ceremony before they get buried.\n\nYou can also just use a Parlour Table if you want no funerals and a quicker burial procedure.

object_DelOccupiedGrave									 Del Prisoner Grave
buildtoolbar_popup_staff_DelOccupiedGrave				 Sets the age of a prisoners GraveStone to max, this will issue a CleanUp Grave job.
object_DelOccupiedStaffGrave							 Del Staff Grave
buildtoolbar_popup_staff_DelOccupiedStaffGrave			 Sets the age of a Staff GraveStone to max, this will issue a CleanUp Grave job.

job_custom_CloseCoffin									 Close coffin
job_custom_BuryEntity									 Bury person
job_custom_DigHole										 Dig a big hole
job_custom_CoffinInHole									 Put coffin in big hole
job_custom_CleanGrave									 Tidy grave
job_custom_TendGrave									 Tend grave
job_custom_TendGraveStone								 Tend gravestone
job_custom_PlaceStone									 Place gravestone
job_custom_GiveParlourSpeech							 Give speech
job_custom_PlaceFuneralWreath							 Place funeral wreath
job_custom_VisitParlour1A								 Visit funeral parlour
job_custom_VisitParlour2A								 Visit funeral parlour
job_custom_VisitParlour3A								 Visit funeral parlour
job_custom_VisitParlour4A								 Visit funeral parlour
job_custom_VisitParlour5A								 Visit funeral parlour
job_custom_VisitParlour1B								 Visit funeral parlour
job_custom_VisitParlour2B								 Visit funeral parlour
job_custom_VisitParlour3B								 Visit funeral parlour
job_custom_VisitParlour4B								 Visit funeral parlour
job_custom_VisitParlour5B								 Visit funeral parlour
job_custom_PriestToAltar								 Start funeral ceremony
job_custom_SayGoodbye1									 Say goodbye
job_custom_SayGoodbye2									 Say goodbye
job_custom_SayGoodbye3									 Say goodbye
job_custom_SayGoodbye4									 Say goodbye
job_custom_SayGoodbye5									 Say goodbye
job_custom_VisitGrave									 Visit grave
reformprogram_GraveDigging								 Grave Digging
reformprogram_GraveDigging_text							 Let your prisoners dig their own Graves. Your staff is busy enough already dealing with their behaviour, so why not give the prisoners a course to let them clean up their own mess?
reformprogram_CoffinProduction							 Coffin Production
reformprogram_CoffinProduction_text						 Six pieces of wood make a cosy coffin! This workshop class will teach prisoners how to assemble those six pieces. Finished coffins are stored on a Morgue Table at the Morgue. All tables loaded? Then the coffins go to Exports.

objective_Grant_Morgue2									 Cemetery grant 1/6: Morgue
objective_Grant_Morgue2_description						 Step 1 in creating a Cemetery for your prison is to build a Morgue where dead people get stored in Empty Coffins
objective_Grant__Morgue2_Research						 First you must research Health
objective_Grant_Morgue2_MorgueRoom						 Build a Morgue
objective_Grant_Morgue2_MorgueSlabNumber				 Place at least 1 Morgue Slab in the Morgue
objective_Grant_Morgue2_MorgueTableNumber				 Place at least 1 Morgue Table in the Morgue
objective_Grant_Morgue2_CoffinNumber					 Place at least 2 Empty Coffins in the Morgue
objective_Grant_Morgue2_HearseRemoverNumber				 Place 1 Hearse Remover somewhere on the map

objective_Grant_Parlour2								 Cemetery grant 2/6: Funeral Parlour
objective_Grant_Parlour2_description					 Step 2 for your Cemetery involves building a Funeral Parlour where coffins are closed or a funeral ceremony takes place
objective_Grant_Parlour2_Research						 First you must complete the Morgue grant
objective_Grant_Parlour2_ParlourRoom					 Build a Funeral Parlour
objective_Grant_Parlour2_ParlourTableNumber				 Place at least 1 Parlour Table in the Funeral Parlour
objective_Grant_Parlour2_AltarNumber					 Place 1 Funeral Altar in the Funeral Parlour
objective_Grant_Parlour2_ChairNumber					 Place 5 Parlour Chairs in the Funeral Parlour

objective_Grant_Cemetery2								 Cemetery grant 3/6: Cemetery
objective_Grant_Cemetery2_description					 In step 3 you will build a Cemetery. Staff members don't want to be buried next to a criminal, so you might want to keep prisoner graves and staff graves in separate areas of your Cemetery
objective_Grant_Cemetery2_Research						 First you must complete the Funeral Parlour grant
objective_Grant_Cemetery2_CemeteryRoom					 Build a Cemetery
objective_Grant_Cemetery2_GraveStoneNumber				 Place at least 2 Grave Stones (eyecandy) somewhere at the Cemetery.\n\nYou can put a Concrete Tile there as well, to resemble a full grave.
objective_Grant_Cemetery2_GraveNumber					 Place at least 2 Empty Graves somewhere else at the Cemetery
objective_Grant_Cemetery2_StaffGraveNumber				 Place at least 2 Empty Staff Graves somewhere else at the Cemetery
objective_Grant_Cemetery2_GraveDiggerNumber				 Hire at least 1 GraveDigger

objective_Grant_CoffinWorkshop2							 Cemetery grant 4/6: Coffin Workshop
objective_Grant_CoffinWorkshop2_description				 Step 4 of your Cemetery makes sure the supply of Empty Coffins will be OK
objective_Grant_CoffinWorkshop2_Research				 First you must research Prison Labour
objective_Grant_CoffinWorkshop2_CoffinWorkshopRoom		 Build a Coffin Workshop
objective_Grant_CoffinWorkshop2_CoffinTableNumber		 Place at least 1 CoffinTable in the Coffin Workshop
objective_Grant_CoffinWorkshop2_GraveDiggerNumber		 Hire at least 1 GraveDigger

objective_Grant_CoffinProduction2						 Cemetery grant 5/6: Coffin Production
objective_Grant_CoffinProduction2_description			 In step 5 of the Cemetery, we let prisoners make their own coffins from cheap wood
objective_Grant_CoffinProduction2_Research				 First you must complete the Coffin Workshop grant
objective_Grant_CoffinProduction2_ProgramPassed			 Have at least 2 prisoners pass the "Coffin Production" reform program
objective_Grant_CoffinProduction2_Assigned				 Assign at least 1 prisoner to work at the Coffin Workshop
objective_Grant_CoffinProduction2_CoffinNumber			 Produce 10 empty coffins

objective_Grant_Cemetery2Jobs							 Cemetery grant 6/6: Bury a dead prisoner
objective_Grant_Cemetery2Jobs_description				 The last step is to actually bury a prisoner. This might take a while to complete, depending on how safe your prison is. Assign prisoners to maintain graves and bury one of their fellow inmates.
objective_Grant_Cemetery2Jobs_Research					 First you must complete the Cemetery grant and research Prison Labour
objective_Grant_Cemetery2Jobs_ProgramPassed				 Have at least 2 prisoners pass the "Grave Digging" course
objective_Grant_Cemetery2Jobs_Assigned					 Assign at least 1 prisoner to work at the Cemetery
objective_Grant_Cemetery2Jobs_BuryDead					 Have at least 1 prisoner buried




material_MenuWater										 <-->
material_MenuTiles										 -->
material_MenuCarpet										 -->
material_MenuWood										 -->
material_MenuMosaic										 -->
material_MenuStone										 -->
material_MenuDeploy										 -->
material_MenuFence										 -->
material_MenuCompost									 -->
material_MenuChinook									 -->
material_MenuCurb										 -->

object_FloorMaterial									 Floor Material

material_Heli_TL										 HeliPad TL
material_Heli_TC										 HeliPad TC
material_Heli_TR										 HeliPad TR
material_Heli_CL										 HeliPad CL
material_Heli_CC										 HeliPad CC
material_Heli_CR										 HeliPad CR
material_Heli_BL										 HeliPad BL
material_Heli_BC										 HeliPad BC
material_Heli_BR										 HeliPad BR

material_Limo2Wall										 Limo Wall

material_outercornerTL									 Outer Corner
material_outercornerTR									 Outer Corner
material_outercornerBL									 Outer Corner
material_outercornerBR									 Outer Corner
material_outerlineT										 Outer Line Top
material_outerlineB										 Outer Line Bottom
material_dashedcenterline_vertical						 Dashed Centre Line
material_dashedcenterline_horizontal					 Dashed Centre Line
material_solidcenterline_vertical						 Solid Centre Line
material_solidcenterline_horizontal						 Solid Centre Line
material_solidyellowcenterline_vertical					 Yellow Centre Line
material_solidyellowcenterline_horizontal				 Yellow Centre Line
material_diagroadwithsidewalkTL							 Diag Sidewalk
material_diagroadwithsidewalkTR							 Diag Sidewalk
material_diagroadwithsidewalkBL							 Diag Sidewalk
material_diagroadwithsidewalkBR							 Diag Sidewalk

material_verticallinewithzebraT							 Line with Zebra
material_verticallinewithzebraB							 Line with Zebra

material_verticalcurbwithzebraT							 Curb with Zebra
material_verticalcurbwithzebraB							 Curb with Zebra
material_verticalzebra									 Zebra Crossing

material_whitecrosslinesTL								 White Crosslines
material_whitecrosslinesTR								 White Crosslines
material_whitecrosslinesBL								 White Crosslines
material_whitecrosslinesBR								 White Crosslines

material_yellowcrosslinesL								 Yellow Crosslines
material_yellowcrosslinesR								 Yellow Crosslines
material_yellowcrosslinesBL								 Yellow Crosslines
material_yellowcrosslinesBR								 Yellow Crosslines

material_yellowcenterturnTL								 Centre Line Turn
material_yellowcenterturnTR								 Centre Line Turn
material_yellowcenterturnBL								 Centre Line Turn
material_yellowcenterturnBR								 Centre Line Turn

material_whitecenterturnTL								 Centre Line Turn
material_whitecenterturnTR								 Centre Line Turn
material_whitecenterturnBL								 Centre Line Turn
material_whitecenterturnBR								 Centre Line Turn

material_innerwhitecornerTL								 Inner Corner
material_innerwhitecornerTR								 Inner Corner
material_innerwhitecornerBL								 Inner Corner
material_innerwhitecornerBR								 Inner Corner

material_outercurbT										 Outer Curb
material_outercurbL										 Outer Curb
material_outercurbB										 Outer Curb
material_outercurbR										 Outer Curb

material_innercurbT										 Inner Curb
material_innercurbL										 Inner Curb
material_innercurbB										 Inner Curb
material_innercurbR										 Inner Curb

material_innerdiagroadTL								 Diagonal Inner Line
material_innerdiagroadTR								 Diagonal Inner Line
material_innerdiagroadBL								 Diagonal Inner Line
material_innerdiagroadBR								 Diagonal Inner Line

material_diagsidewalkTL									 Diag Road Sidewalk
material_diagsidewalkTR									 Diag Road Sidewalk
material_diagsidewalkBL									 Diag Road Sidewalk
material_diagsidewalkBR									 Diag Road Sidewalk

material_curbcornerTL									 Curb Corner
material_curbcornerTR									 Curb Corner
material_curbcornerBL									 Curb Corner
material_curbcornerBR									 Curb Corner
material_curbgutter										 Curb Gutter
material_manhole										 Manhole

material_diagcenterturnTL								 Diagonal / Straight center line
material_diagcenterturnTR								 Diagonal / Straight center line
material_diagcenterturnBL								 Diagonal / Straight center line
material_diagcenterturnBR								 Diagonal / Straight center line

material_diagcenterL									 Diagonal Center Line	
material_diagcenterR									 Diagonal Center Line	

material_diagreversecenterturnTL						 Diagonal / Straight center line
material_diagreversecenterturnTR						 Diagonal / Straight center line
material_diagreversecenterturnBL						 Diagonal / Straight center line
material_diagreversecenterturnBR						 Diagonal / Straight center line

material_parkingspot1TL									 Parking Spot 1
material_parkingspot1TR									 Parking Spot 1
material_parkingspot1BL									 Parking Spot 1
material_parkingspot1BR									 Parking Spot 1

material_parkingspot2TL									 Parking Spot 2
material_parkingspot2TR									 Parking Spot 2
material_parkingspot2BL									 Parking Spot 2
material_parkingspot2BR									 Parking Spot 2

material_parkingspot3TL									 Parking Spot 3
material_parkingspot3TR									 Parking Spot 3
material_parkingspot3BL									 Parking Spot 3
material_parkingspot3BR									 Parking Spot 3

material_RoadCrossing									 Crossing
material_RoadCrossingLeft								 Crossing (Left)
material_RoadCrossingRight								 Crossing (Right)

material_cinderbwall			 						 Cinderblock Wall
material_mud					 						 Mud

material_GraveHole										 Grave Hole
material_CemeteryStone									 Cemetery Stone
material_CemeteryPavingStone							 Cemetery Paving Stone

material_longgrass										 Long Grass
material_BlueMosaic										 Blue Mosaic
material_SalmonTiles									 Salmon Tiles
material_WoodLaminate									 Wood Laminate
material_BlackMosaic									 Black Mosaic
material_BrownMosaic									 Brown Mosaic
material_LightWood										 Light Wood
material_RedTiles										 Red Tiles
material_RedCarpet										 Red Carpet
material_BlueCarpet										 Blue Carpet
material_GreenCarpet									 Green Carpet
material_RedCarpet1										 Red Carpet
material_BlueCarpet1									 Blue Carpet
material_GreenCarpet1									 Green Carpet
material_OrangeCarpet									 Orange Carpet
material_YellowCarpet									 Yellow Carpet
material_YellowCarpet1									 Yellow Carpet
material_RedCarpet2										 Red Carpet
material_BlueCarpet2									 Blue Carpet
material_GreenCarpet2									 Green Carpet
material_YellowCarpet2									 Yellow Carpet
material_BlackCarpet1									 Black Carpet
material_WhiteCarpet									 White Carpet
material_WhiteCarpet1									 White Carpet
material_BlackCarpet2									 Black Carpet
material_WhiteCarpet2									 White Carpet
material_LightBlueCarpet								 Blue Carpet
material_BlackCarpet									 Black Carpet
material_GreyTiles										 Grey Tiles
material_BlackTiles										 Black Tiles
material_OrangeTiles									 Orange Tiles
material_BlueTiles										 Blue Tiles
material_YellowTiles									 Yellow Tiles
material_DarkWood										 Dark Wood
material_Cobblestone									 Cobble Stone
material_LinoleumFloor									 Linoleum Floor
material_KeramikFloor									 Ceramic Floor
material_GraniteFloor									 Granite Floor
material_MetallTiles									 Metal Tiles
material_DarkParkett									 Dark Parkett
material_StoneTiles										 Stone Tiles
material_WaterStable									 Water (Stable)
material_RoofTiles1										 Roof Tiles 1
material_RoofTiles2										 Roof Tiles 2
material_FX2K_Tile1										 Concrete Tile
material_FX2K_Tile2										 Crazy Paving
material_FX2K_Tile3										 Grey Carpet
material_FX2K_Tile4										 Grey Carpet
material_FX2K_Tile5										 Yellow Carpet
material_FX2K_Tile6										 Orange Carpet
material_FX2K_Tile7										 Green Carpet
material_FX2K_Tile8										 Green Carpet
material_FX2K_Tile9										 Kitchen Tiles
material_FX2K_Tile10									 Blue Carpet
material_FX2K_Tile11									 Blue Carpet
material_FX2K_Tile12									 Blue Carpet
material_FX2K_Tile13									 Dark Wood Floor
material_FX2K_Tile14									 Red Carpet
material_FX2K_Tile15									 Maroon Carpet
material_FX2K_Tile16									 Purple Carpet
material_LooseStone										 Loose Stone
material_PavedFence										 Paved Fence
material_PavedBushFence									 Paved Bush Fence
material_TiledFence										 Tiled Fence
material_TiledBushFence									 Tiled Bush Fence
material_GrassFence										 Grass Fence
material_JailFence										 Jail Fence
material_YellowBigMosaic								 Yellow Mosaic
material_GreenBigMosaic									 Green Mosaic
material_WhiteBigMosaic									 White Mosaic
material_RedBigMosaic									 Red Mosaic
material_GreyBigMosaic									 Grey Mosaic

material_Farmland										 Compost

material_T0_WhiteTile									 White Tile
material_BL_PublicTile									 Public Tile
material_BR_PublicTile									 Public Tile
material_C_PublicTile									 Public Tile
material_T3_PublicTile									 Public Tile
material_T6_PublicTile									 Public Tile
material_T9_PublicTile									 Public Tile
material_T12_PublicTile									 Public Tile
material_TL_PublicTile									 Public Tile
material_TR_PublicTile									 Public Tile
material_X_PublicTile									 Public Tile
material_Y_PublicTile									 Public Tile
material_BL_PublicConcrete								 Public Concrete
material_BR_PublicConcrete								 Public Concrete
